Word Order	Other Properties	Subject Position	Object Position	Sentence					Subj preceds obj	Is ambiguous	Not amb, subj before obj	Not amb, obj before subj		Satzl�nge	Is pp/aux	
VF[O]LK[V]MF[S]	spron-oan	4	2	Einen Kursteilnehmer leitest du .					FALSCH	FALSCH	FALSCH	WAHR		4	0	2
LK[V]MF[SO]	spron-oan	3	5	Deshalb leitest du einen Kursteilnehmer .					WAHR	FALSCH	WAHR	FALSCH		5	0	2
LK[V]MF[SO]Q	spron-oan	2	4	Leitest du einen Kursteilnehmer ?					WAHR	FALSCH	WAHR	FALSCH		4	0	2
MF[SO]VC[V]	spron-oan	2	4	Weil du einen Kursteilnehmer leitest .					WAHR	FALSCH	WAHR	FALSCH		5	0	2
VF[S]LK[V]MF[O]	spron-oan	1	4	Wir besuchen eine Oberbürgermeisterin .					WAHR	FALSCH	WAHR	FALSCH		4	0	3
VF[O]LK[V]MF[S]	spron-oan	4	2	Eine Oberbürgermeisterin besuchen wir .					FALSCH	FALSCH	FALSCH	WAHR		4	0	2
LK[V]MF[SO]	spron-oan	3	5	Deshalb besuchen wir eine Oberbürgermeisterin .					WAHR	FALSCH	WAHR	FALSCH		5	0	2
LK[V]MF[SO]Q	spron-oan	2	4	Besuchen wir eine Oberbürgermeisterin ?					WAHR	FALSCH	WAHR	FALSCH		4	0	2
MF[SO]VC[V]	spron-oan	2	4	Weil wir eine Oberbürgermeisterin besuchen .					WAHR	FALSCH	WAHR	FALSCH		5	0	2
VF[S]LK[V]MF[O]	spron-oan	1	4	Ihr braucht einen Dolmetscher .					WAHR	FALSCH	WAHR	FALSCH		4	0	3
VF[O]LK[V]MF[S]	spron-oan	4	2	Einen Dolmetscher braucht ihr .					FALSCH	FALSCH	FALSCH	WAHR		4	0	2
LK[V]MF[SO]	spron-oan	3	5	Deshalb braucht ihr einen Dolmetscher .					WAHR	FALSCH	WAHR	FALSCH		5	0	2
LK[V]MF[SO]Q	spron-oan	2	4	Braucht ihr einen Dolmetscher ?					WAHR	FALSCH	WAHR	FALSCH		4	0	2
MF[SO]VC[V]	spron-oan	2	4	Weil ihr einen Dolmetscher braucht .					WAHR	FALSCH	WAHR	FALSCH		5	0	2
VF[S]LK[V]MF[O]	spron-oan	1	4	Du befreist einen Notleidenden .					WAHR	FALSCH	WAHR	FALSCH		4	0	3
VF[O]LK[V]MF[S]	spron-oan	4	2	Einen Notleidenden befreist du .					FALSCH	FALSCH	FALSCH	WAHR		4	0	2
LK[V]MF[SO]	spron-oan	3	5	Deshalb befreist du einen Notleidenden .					WAHR	FALSCH	WAHR	FALSCH		5	0	2
LK[V]MF[SO]Q	spron-oan	2	4	Befreist du einen Notleidenden ?					WAHR	FALSCH	WAHR	FALSCH		4	0	2
MF[SO]VC[V]	spron-oan	2	4	Weil du einen Notleidenden befreist .					WAHR	FALSCH	WAHR	FALSCH		5	0	2
VF[S]LK[V]MF[O]	oneg-oan	2	5	Der Aufsichtsratsvorstand ernennt keinen Vertreter .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oneg-oan	5	2	Keinen Vertreter ernennt der Aufsichtsratsvorstand .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oneg-oan	4	6	Deshalb ernennt der Aufsichtsratsvorstand keinen Vertreter .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oneg-oan	3	5	Ernennt der Aufsichtsratsvorstand keinen Vertreter ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oneg-oan	3	5	Weil der Aufsichtsratsvorstand keinen Vertreter ernennt .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oneg-oan	2	5	Der Fernsehreporter befragt keine EZB-Chefin .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oneg-oan	5	2	Keine EZB-Chefin befragt der Fernsehreporter .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oneg-oan	4	6	Deshalb befragt der Fernsehreporter keine EZB-Chefin .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oneg-oan	3	5	Befragt der Fernsehreporter keine EZB-Chefin ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oneg-oan	3	5	Weil der Fernsehreporter keine EZB-Chefin befragt .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oneg-oan	2	5	Der Züchter füttert keine Spinnen .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oneg-oan	5	2	Keine Spinnen füttert der Züchter .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oneg-oan	4	6	Deshalb füttert der Züchter keine Spinnen .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oneg-oan	3	5	Füttert der Züchter keine Spinnen ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oneg-oan	3	5	Weil der Züchter keine Spinnen füttert .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oneg-oan	2	5	Die Katze kratzt keinen Hundehalter .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oneg-oan	5	2	Keinen Hundehalter kratzt die Katze .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oneg-oan	4	6	Deshalb kratzt die Katze keinen Hundehalter .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oneg-oan	3	5	Kratzt die Katze keinen Hundehalter ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oneg-oan	3	5	Weil die Katze keinen Hundehalter kratzt .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oneg-oan	2	5	Der Kellner streift keinen Koch .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oneg-oan	5	2	Keinen Koch streift der Kellner .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oneg-oan	4	6	Deshalb streift der Kellner keinen Koch .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oneg-oan	3	5	Streift der Kellner keinen Koch ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oneg-oan	3	5	Weil der Kellner keinen Koch streift .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oneg-oan	2	5	Die Personalerin nimmt keinen Bewerber .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oneg-oan	5	2	Keinen Bewerber nimmt die Personalerin .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oneg-oan	4	6	Deshalb nimmt die Personalerin keinen Bewerber .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oneg-oan	3	5	Nimmt die Personalerin keinen Bewerber ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oneg-oan	3	5	Weil die Personalerin keinen Bewerber nimmt .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oneg-oan	2	5	Der Komponist kopiert keine Jazz-Pianistin .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oneg-oan	5	2	Keine Jazz-Pianistin kopiert der Komponist .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oneg-oan	4	6	Deshalb kopiert der Komponist keine Jazz-Pianistin .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oneg-oan	3	5	Kopiert der Komponist keine Jazz-Pianistin ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oneg-oan	3	5	Weil der Komponist keine Jazz-Pianistin kopiert .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oneg-oan	2	5	Die Mieter beauftragen keinen Kammerjäger .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oneg-oan	5	2	Keinen Kammerjäger beauftragen die Mieter .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oneg-oan	4	6	Deshalb beauftragen die Mieter keinen Kammerjäger .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oneg-oan	3	5	Beauftragen die Mieter keinen Kammerjäger ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oneg-oan	3	5	Weil die Mieter keinen Kammerjäger beauftragen .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oneg-oan	2	5	Der 18jährige verletzt keine Jugendlichen .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oneg-oan	5	2	Keine Jugendlichen verletzt der 18jährige .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oneg-oan	4	6	Deshalb verletzt der 18jährige keine Jugendlichen .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oneg-oan	3	5	Verletzt der 18jährige keine Jugendlichen ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oneg-oan	3	5	Weil der 18jährige keine Jugendlichen verletzt .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oneg-oan	2	5	Der Schweizer dirigiert keine Philharmoniker .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oneg-oan	5	2	Keine Philharmoniker dirigiert der Schweizer .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oneg-oan	4	6	Deshalb dirigiert der Schweizer keine Philharmoniker .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oneg-oan	3	5	Dirigiert der Schweizer keine Philharmoniker ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oneg-oan	3	5	Weil der Schweizer keine Philharmoniker dirigiert .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oneg-oan	2	5	Die Fotografin beschreibt keine Models .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oneg-oan	5	2	Keine Models beschreibt die Fotografin .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oneg-oan	4	6	Deshalb beschreibt die Fotografin keine Models .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oneg-oan	3	5	Beschreibt die Fotografin keine Models ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oneg-oan	3	5	Weil die Fotografin keine Models beschreibt .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oneg-oan	2	5	Der Wirtschaftsingenieur leitet keine Kursteilnehmer .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oneg-oan	5	2	Keine Kursteilnehmer leitet der Wirtschaftsingenieur .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oneg-oan	4	6	Deshalb leitet der Wirtschaftsingenieur keine Kursteilnehmer .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oneg-oan	3	5	Leitet der Wirtschaftsingenieur keine Kursteilnehmer ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oneg-oan	3	5	Weil der Wirtschaftsingenieur keine Kursteilnehmer leitet .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oneg-oan	2	5	Die Experten besuchen keine Oberbürgermeisterin .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oneg-oan	5	2	Keine Oberbürgermeisterin besuchen die Experten .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oneg-oan	4	6	Deshalb besuchen die Experten keine Oberbürgermeisterin .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oneg-oan	3	5	Besuchen die Experten keine Oberbürgermeisterin ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oneg-oan	3	5	Weil die Experten keine Oberbürgermeisterin besuchen .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oneg-oan	2	5	Die Pionierin braucht keinen Dolmetscher .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oneg-oan	5	2	Keinen Dolmetscher braucht die Pionierin .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oneg-oan	4	6	Deshalb braucht die Pionierin keinen Dolmetscher .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oneg-oan	3	5	Braucht die Pionierin keinen Dolmetscher ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oneg-oan	3	5	Weil die Pionierin keinen Dolmetscher braucht .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	oneg-oan	2	5	Der Feuerwehrmann befreit keinen Notleidenden .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	oneg-oan	5	2	Keinen Notleidenden befreit der Feuerwehrmann .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
LK[V]MF[SO]	oneg-oan	4	6	Deshalb befreit der Feuerwehrmann keinen Notleidenden .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
LK[V]MF[SO]Q	oneg-oan	3	5	Befreit der Feuerwehrmann keinen Notleidenden ?					WAHR	FALSCH	WAHR	FALSCH		5	0	2
MF[SO]VC[V]	oneg-oan	3	5	Weil der Feuerwehrmann keinen Notleidenden befreit .					WAHR	FALSCH	WAHR	FALSCH		6	0	2
VF[S]LK[V]MF[O]	pp-oan	2	8	Der Aufsichtsratsvorstand ernennt in dem Jahr einen Vertreter .					WAHR	FALSCH	WAHR	FALSCH		8	1	6
VF[O]LK[V]MF[S]	pp-oan	8	2	Einen Vertreter ernennt in dem Jahr der Aufsichtsratsvorstand .					FALSCH	FALSCH	FALSCH	WAHR		8	1	6
LK[V]MF[SO]	pp-oan	7	9	Deshalb ernennt in dem Jahr der Aufsichtsratsvorstand einen Vertreter .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
LK[V]MF[SO]Q	pp-oan	6	8	Ernennt in dem Jahr der Aufsichtsratsvorstand einen Vertreter ?					WAHR	FALSCH	WAHR	FALSCH		8	1	2
MF[SO]VC[V]	pp-oan	6	8	Weil in dem Jahr der Aufsichtsratsvorstand einen Vertreter ernennt .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
VF[S]LK[V]MF[O]	pp-oan	2	8	Der Fernsehreporter befragt in dem Jahr eine EZB-Chefin .					WAHR	FALSCH	WAHR	FALSCH		8	1	6
VF[O]LK[V]MF[S]	pp-oan	8	2	Eine EZB-Chefin befragt in dem Jahr der Fernsehreporter .					FALSCH	FALSCH	FALSCH	WAHR		8	1	6
LK[V]MF[SO]	pp-oan	7	9	Deshalb befragt in dem Jahr der Fernsehreporter eine EZB-Chefin .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
LK[V]MF[SO]Q	pp-oan	6	8	Befragt in dem Jahr der Fernsehreporter eine EZB-Chefin ?					WAHR	FALSCH	WAHR	FALSCH		8	1	2
MF[SO]VC[V]	pp-oan	6	8	Weil in dem Jahr der Fernsehreporter eine EZB-Chefin befragt .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
VF[S]LK[V]MF[O]	pp-oan	2	8	Der Züchter füttert in dem Jahr eine Spinne .					WAHR	FALSCH	WAHR	FALSCH		8	1	6
VF[O]LK[V]MF[S]	pp-oan	8	2	Eine Spinne füttert in dem Jahr der Züchter .					FALSCH	FALSCH	FALSCH	WAHR		8	1	6
LK[V]MF[SO]	pp-oan	7	9	Deshalb füttert in dem Jahr der Züchter eine Spinne .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
LK[V]MF[SO]Q	pp-oan	6	8	Füttert in dem Jahr der Züchter eine Spinne ?					WAHR	FALSCH	WAHR	FALSCH		8	1	2
MF[SO]VC[V]	pp-oan	6	8	Weil in dem Jahr der Züchter eine Spinne füttert .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
VF[S]LK[V]MF[O]	pp-oan	2	8	Die Katze kratzt in dem Jahr einen Hundehalter .					WAHR	FALSCH	WAHR	FALSCH		8	1	6
VF[O]LK[V]MF[S]	pp-oan	8	2	Einen Hundehalter kratzt in dem Jahr die Katze .					FALSCH	FALSCH	FALSCH	WAHR		8	1	6
LK[V]MF[SO]	pp-oan	7	9	Deshalb kratzt in dem Jahr die Katze einen Hundehalter .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
LK[V]MF[SO]Q	pp-oan	6	8	Kratzt in dem Jahr die Katze einen Hundehalter ?					WAHR	FALSCH	WAHR	FALSCH		8	1	2
MF[SO]VC[V]	pp-oan	6	8	Weil in dem Jahr die Katze einen Hundehalter kratzt .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
VF[S]LK[V]MF[O]	pp-oan	2	8	Der Kellner streift in dem Jahr einen Koch .					WAHR	FALSCH	WAHR	FALSCH		8	1	6
VF[O]LK[V]MF[S]	pp-oan	8	2	Einen Koch streift in dem Jahr der Kellner .					FALSCH	FALSCH	FALSCH	WAHR		8	1	6
LK[V]MF[SO]	pp-oan	7	9	Deshalb streift in dem Jahr der Kellner einen Koch .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
LK[V]MF[SO]Q	pp-oan	6	8	Streift in dem Jahr der Kellner einen Koch ?					WAHR	FALSCH	WAHR	FALSCH		8	1	2
MF[SO]VC[V]	pp-oan	6	8	Weil in dem Jahr der Kellner einen Koch streift .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
VF[S]LK[V]MF[O]	pp-oan	2	8	Die Personalerin nimmt in dem Jahr einen Bewerber .					WAHR	FALSCH	WAHR	FALSCH		8	1	6
VF[O]LK[V]MF[S]	pp-oan	8	2	Einen Bewerber nimmt in dem Jahr die Personalerin .					FALSCH	FALSCH	FALSCH	WAHR		8	1	6
LK[V]MF[SO]	pp-oan	7	9	Deshalb nimmt in dem Jahr die Personalerin einen Bewerber .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
LK[V]MF[SO]Q	pp-oan	6	8	Nimmt in dem Jahr die Personalerin einen Bewerber ?					WAHR	FALSCH	WAHR	FALSCH		8	1	2
MF[SO]VC[V]	pp-oan	6	8	Weil in dem Jahr die Personalerin einen Bewerber nimmt .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
VF[S]LK[V]MF[O]	pp-oan	2	8	Der Komponist kopiert in dem Jahr eine Jazz-Pianistin .					WAHR	FALSCH	WAHR	FALSCH		8	1	6
VF[O]LK[V]MF[S]	pp-oan	8	2	Eine Jazz-Pianistin kopiert in dem Jahr der Komponist .					FALSCH	FALSCH	FALSCH	WAHR		8	1	6
LK[V]MF[SO]	pp-oan	7	9	Deshalb kopiert in dem Jahr der Komponist eine Jazz-Pianistin .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
LK[V]MF[SO]Q	pp-oan	6	8	Kopiert in dem Jahr der Komponist eine Jazz-Pianistin ?					WAHR	FALSCH	WAHR	FALSCH		8	1	2
MF[SO]VC[V]	pp-oan	6	8	Weil in dem Jahr der Komponist eine Jazz-Pianistin kopiert .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
VF[S]LK[V]MF[O]	pp-oan	2	8	Die Mieter beauftragen in dem Jahr einen Kammerjäger .					WAHR	FALSCH	WAHR	FALSCH		8	1	6
VF[O]LK[V]MF[S]	pp-oan	8	2	Einen Kammerjäger beauftragen in dem Jahr die Mieter .					FALSCH	FALSCH	FALSCH	WAHR		8	1	6
LK[V]MF[SO]	pp-oan	7	9	Deshalb beauftragen in dem Jahr die Mieter einen Kammerjäger .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
LK[V]MF[SO]Q	pp-oan	6	8	Beauftragen in dem Jahr die Mieter einen Kammerjäger ?					WAHR	FALSCH	WAHR	FALSCH		8	1	2
MF[SO]VC[V]	pp-oan	6	8	Weil in dem Jahr die Mieter einen Kammerjäger beauftragen .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
VF[S]LK[V]MF[O]	pp-oan	2	8	Der 18jährige verletzt in dem Jahr einen Jugendlichen .					WAHR	FALSCH	WAHR	FALSCH		8	1	6
VF[O]LK[V]MF[S]	pp-oan	8	2	Einen Jugendlichen verletzt in dem Jahr der 18jährige .					FALSCH	FALSCH	FALSCH	WAHR		8	1	6
LK[V]MF[SO]	pp-oan	7	9	Deshalb verletzt in dem Jahr der 18jährige einen Jugendlichen .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
LK[V]MF[SO]Q	pp-oan	6	8	Verletzt in dem Jahr der 18jährige einen Jugendlichen ?					WAHR	FALSCH	WAHR	FALSCH		8	1	2
MF[SO]VC[V]	pp-oan	6	8	Weil in dem Jahr der 18jährige einen Jugendlichen verletzt .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
VF[S]LK[V]MF[O]	pp-oan	2	8	Der Schweizer dirigiert in dem Jahr einen Philharmoniker .					WAHR	FALSCH	WAHR	FALSCH		8	1	6
VF[O]LK[V]MF[S]	pp-oan	8	2	Einen Philharmoniker dirigiert in dem Jahr der Schweizer .					FALSCH	FALSCH	FALSCH	WAHR		8	1	6
LK[V]MF[SO]	pp-oan	7	9	Deshalb dirigiert in dem Jahr der Schweizer einen Philharmoniker .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
LK[V]MF[SO]Q	pp-oan	6	8	Dirigiert in dem Jahr der Schweizer einen Philharmoniker ?					WAHR	FALSCH	WAHR	FALSCH		8	1	2
MF[SO]VC[V]	pp-oan	6	8	Weil in dem Jahr der Schweizer einen Philharmoniker dirigiert .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
VF[S]LK[V]MF[O]	pp-oan	2	8	Die Fotografinnen beschreiben in dem Jahr ein Model .					WAHR	FALSCH	WAHR	FALSCH		8	1	6
VF[O]LK[V]MF[S]	pp-oan	8	2	Ein Model beschreiben in dem Jahr die Fotografinnen .					FALSCH	FALSCH	FALSCH	WAHR		8	1	6
LK[V]MF[SO]	pp-oan	7	9	Deshalb beschreiben in dem Jahr die Fotografinnen ein Model .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
LK[V]MF[SO]Q	pp-oan	6	8	Beschreiben in dem Jahr die Fotografinnen ein Model ?					WAHR	FALSCH	WAHR	FALSCH		8	1	2
MF[SO]VC[V]	pp-oan	6	8	Weil in dem Jahr die Fotografinnen ein Model beschreiben .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
VF[S]LK[V]MF[O]	pp-oan	2	8	Der Wirtschaftsingenieur leitet in dem Jahr einen Kursteilnehmer .					WAHR	FALSCH	WAHR	FALSCH		8	1	6
VF[O]LK[V]MF[S]	pp-oan	8	2	Einen Kursteilnehmer leitet in dem Jahr der Wirtschaftsingenieur .					FALSCH	FALSCH	FALSCH	WAHR		8	1	6
LK[V]MF[SO]	pp-oan	7	9	Deshalb leitet in dem Jahr der Wirtschaftsingenieur einen Kursteilnehmer .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
LK[V]MF[SO]Q	pp-oan	6	8	Leitet in dem Jahr der Wirtschaftsingenieur einen Kursteilnehmer ?					WAHR	FALSCH	WAHR	FALSCH		8	1	2
MF[SO]VC[V]	pp-oan	6	8	Weil in dem Jahr der Wirtschaftsingenieur einen Kursteilnehmer leitet .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
VF[S]LK[V]MF[O]	pp-oan	2	8	Die Experten besuchen in dem Jahr eine Oberbürgermeisterin .					WAHR	FALSCH	WAHR	FALSCH		8	1	6
VF[O]LK[V]MF[S]	pp-oan	8	2	Eine Oberbürgermeisterin besuchen in dem Jahr die Experten .					FALSCH	FALSCH	FALSCH	WAHR		8	1	6
LK[V]MF[SO]	pp-oan	7	9	Deshalb besuchen in dem Jahr die Experten eine Oberbürgermeisterin .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
LK[V]MF[SO]Q	pp-oan	6	8	Besuchen in dem Jahr die Experten eine Oberbürgermeisterin ?					WAHR	FALSCH	WAHR	FALSCH		8	1	2
MF[SO]VC[V]	pp-oan	6	8	Weil in dem Jahr die Experten eine Oberbürgermeisterin besuchen .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
VF[S]LK[V]MF[O]	pp-oan	2	8	Die Pionierin braucht in dem Jahr einen Dolmetscher .					WAHR	FALSCH	WAHR	FALSCH		8	1	6
VF[O]LK[V]MF[S]	pp-oan	8	2	Einen Dolmetscher braucht in dem Jahr die Pionierin .					FALSCH	FALSCH	FALSCH	WAHR		8	1	6
LK[V]MF[SO]	pp-oan	7	9	Deshalb braucht in dem Jahr die Pionierin einen Dolmetscher .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
LK[V]MF[SO]Q	pp-oan	6	8	Braucht in dem Jahr die Pionierin einen Dolmetscher ?					WAHR	FALSCH	WAHR	FALSCH		8	1	2
MF[SO]VC[V]	pp-oan	6	8	Weil in dem Jahr die Pionierin einen Dolmetscher braucht .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
VF[S]LK[V]MF[O]	pp-oan	2	8	Der Feuerwehrmann befreit in dem Jahr einen Notleidenden .					WAHR	FALSCH	WAHR	FALSCH		8	1	6
VF[O]LK[V]MF[S]	pp-oan	8	2	Einen Notleidenden befreit in dem Jahr der Feuerwehrmann .					FALSCH	FALSCH	FALSCH	WAHR		8	1	6
LK[V]MF[SO]	pp-oan	7	9	Deshalb befreit in dem Jahr der Feuerwehrmann einen Notleidenden .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
LK[V]MF[SO]Q	pp-oan	6	8	Befreit in dem Jahr der Feuerwehrmann einen Notleidenden ?					WAHR	FALSCH	WAHR	FALSCH		8	1	2
MF[SO]VC[V]	pp-oan	6	8	Weil in dem Jahr der Feuerwehrmann einen Notleidenden befreit .					WAHR	FALSCH	WAHR	FALSCH		9	1	2
VF[S]LK[V]MF[O]	pp-oan	2	5	Die Quote umgeht eine Frau .					WAHR	FALSCH	WAHR	FALSCH		5	1	3
VF[O]LK[V]MF[S]	pp-oan	5	2	Eine Frau umgeht die Quote .					FALSCH	FALSCH	FALSCH	WAHR		5	1	3
LK[V]MF[SO]	pp-oan	4	6	Deshalb umgeht die Quote eine Frau .					WAHR	FALSCH	WAHR	FALSCH		6	1	2
LK[V]MF[SO]Q	pp-oan	3	5	Umgeht die Quote eine Frau ?					WAHR	FALSCH	WAHR	FALSCH		5	1	2
MF[SO]VC[V]	pp-oan	3	5	Weil die Quote eine Frau umgeht .					WAHR	FALSCH	WAHR	FALSCH		6	1	2
VF[S]LK[V]MF[O]	sinan-oan	2	5	Der Zyklon trifft einen Küstenbewohner .					WAHR	FALSCH	WAHR	FALSCH		5	0	3
VF[O]LK[V]MF[S]	sinan-oan	5	2	Einen Küstenbewohner trifft der Zyklon .					FALSCH	FALSCH	FALSCH	WAHR		5	0	3
