Word Order	Other Properties	Subject Position	Object Position	Sentence										Satzl�nge	Is pp/aux	Subj-obj distance			
LK[V]MF[SO]	base-invan	4	6	Deshalb unterstützt die Rückenlehne eine Bürotäterin .					WAHR					6	0	2			
LK[V]MF[OS]	base-invan	6	4	Deshalb unterstützt eine Bürotäterin die Rückenlehne .					FALSCH					6	0	2			
LK[V]MF[SO]Q	base-invan	3	5	Unterstützt die Rückenlehne eine Bürotäterin ?					WAHR					5	0	2			
LK[V]MF[OS]Q	base-invan	5	3	Unterstützt eine Bürotäterin die Rückenlehne ?					FALSCH					5	0	2			
MF[SO]VC[V]	base-invan	3	5	Weil die Rückenlehne eine Bürotäterin unterstützt .					WAHR					6	0	2			
MF[OS]VC[V]	base-invan	5	3	Weil eine Bürotäterin die Rückenlehne unterstützt .					FALSCH					6	0	2			
VF[S]LK[V]MF[O]	base-invan	2	5	Die Hose zwickt eine Entertainerin .					WAHR					5	0	3			
VF[O]LK[V]MF[S]	base-invan	5	2	Eine Entertainerin zwickt die Hose .					FALSCH					5	0	3			
LK[V]MF[SO]	base-invan	4	6	Deshalb zwickt die Hose eine Entertainerin .					WAHR					6	0	2			
LK[V]MF[OS]	base-invan	6	4	Deshalb zwickt eine Entertainerin die Hose .					FALSCH					6	0	2			
LK[V]MF[SO]Q	base-invan	3	5	Zwickt die Hose eine Entertainerin ?					WAHR					5	0	2			
LK[V]MF[OS]Q	base-invan	5	3	Zwickt eine Entertainerin die Hose ?					FALSCH					5	0	2			
MF[SO]VC[V]	base-invan	3	5	Weil die Hose eine Entertainerin zwickt .					WAHR					6	0	2			
MF[OS]VC[V]	base-invan	5	3	Weil eine Entertainerin die Hose zwickt .					FALSCH					6	0	2			
VF[S]LK[V]MF[O]	base-invan	2	5	Die Landwirtschaft bedroht eine Biene .					WAHR					5	0	3			
VF[O]LK[V]MF[S]	base-invan	5	2	Eine Biene bedroht die Landwirtschaft .					FALSCH					5	0	3			
LK[V]MF[SO]	base-invan	4	6	Deshalb bedroht die Landwirtschaft eine Biene .					WAHR					6	0	2			
LK[V]MF[OS]	base-invan	6	4	Deshalb bedroht eine Biene die Landwirtschaft .					FALSCH					6	0	2			
LK[V]MF[SO]Q	base-invan	3	5	Bedroht die Landwirtschaft eine Biene ?					WAHR					5	0	2			
LK[V]MF[OS]Q	base-invan	5	3	Bedroht eine Biene die Landwirtschaft ?					FALSCH					5	0	2			
MF[SO]VC[V]	base-invan	3	5	Weil die Landwirtschaft eine Biene bedroht .					WAHR					6	0	2			
MF[OS]VC[V]	base-invan	5	3	Weil eine Biene die Landwirtschaft bedroht .					FALSCH					6	0	2			
VF[S]LK[V]MF[O]	aux-invan	2	5	Die Borniertheit wird eine taz-Reporterin überfallen .					WAHR					6	1	3			
VF[O]LK[V]MF[S]	aux-invan	5	2	Eine taz-Reporterin wird die Borniertheit überfallen .					FALSCH					6	1	3			
LK[V]MF[SO]	aux-invan	4	6	Deshalb wird die Borniertheit eine taz-Reporterin überfallen .					WAHR					7	1	2			
LK[V]MF[OS]	aux-invan	6	4	Deshalb wird eine taz-Reporterin die Borniertheit überfallen .					FALSCH					7	1	2			
LK[V]MF[SO]Q	aux-invan	3	5	Wird die Borniertheit eine taz-Reporterin überfallen ?					WAHR					6	1	2			
LK[V]MF[OS]Q	aux-invan	5	3	Wird eine taz-Reporterin die Borniertheit überfallen ?					FALSCH					6	1	2			
MF[SO]VC[V]	aux-invan	3	5	Weil die Borniertheit eine taz-Reporterin überfallen wird .					WAHR					7	1	2			
MF[OS]VC[V]	aux-invan	5	3	Weil eine taz-Reporterin die Borniertheit überfallen wird .					FALSCH					7	1	2			
VF[S]LK[V]MF[O]	aux-invan	2	5	Die Schuld wird eine Berufstätige treffen .					WAHR					6	1	3			
VF[O]LK[V]MF[S]	aux-invan	5	2	Eine Berufstätige wird die Schuld treffen .					FALSCH					6	1	3			
LK[V]MF[SO]	aux-invan	4	6	Deshalb wird die Schuld eine Berufstätige treffen .					WAHR					7	1	2			
LK[V]MF[OS]	aux-invan	6	4	Deshalb wird eine Berufstätige die Schuld treffen .					FALSCH					7	1	2			
LK[V]MF[SO]Q	aux-invan	3	5	Wird die Schuld eine Berufstätige treffen ?					WAHR					6	1	2			
LK[V]MF[OS]Q	aux-invan	5	3	Wird eine Berufstätige die Schuld treffen ?					FALSCH					6	1	2			
MF[SO]VC[V]	aux-invan	3	5	Weil die Schuld eine Berufstätige treffen wird .					WAHR					7	1	2			
MF[OS]VC[V]	aux-invan	5	3	Weil eine Berufstätige die Schuld treffen wird .					FALSCH					7	1	2			
VF[S]LK[V]MF[O]	aux-invan	2	4	Die Schuhe werden Jogger drücken .					WAHR					5	1	2			
VF[O]LK[V]MF[S]	aux-invan	4	1	Jogger werden die Schuhe drücken .					FALSCH					5	1	3			
LK[V]MF[SO]	aux-invan	4	5	Deshalb werden die Schuhe Jogger drücken .					WAHR					6	1	1			
LK[V]MF[SO]Q	aux-invan	3	4	Werden die Schuhe Jogger drücken ?					WAHR					5	1	1			
MF[SO]VC[V]	aux-invan	3	4	Weil die Schuhe Jogger drücken werden .					WAHR					6	1	1			
VF[S]LK[V]MF[O]	aux-invan	2	5	Die Deadline wird eine Informatikerin drängen .					WAHR					6	1	3			
VF[O]LK[V]MF[S]	aux-invan	5	2	Eine Informatikerin wird die Deadline drängen .					FALSCH					6	1	3			
LK[V]MF[SO]	aux-invan	4	6	Deshalb wird die Deadline eine Informatikerin drängen .					WAHR					7	1	2			
LK[V]MF[OS]	aux-invan	6	4	Deshalb wird eine Informatikerin die Deadline drängen .					FALSCH					7	1	2			
LK[V]MF[SO]Q	aux-invan	3	5	Wird die Deadline eine Informatikerin drängen ?					WAHR					6	1	2			
LK[V]MF[OS]Q	aux-invan	5	3	Wird eine Informatikerin die Deadline drängen ?					FALSCH					6	1	2			
MF[SO]VC[V]	aux-invan	3	5	Weil die Deadline eine Informatikerin drängen wird .					WAHR					7	1	2			
MF[OS]VC[V]	aux-invan	5	3	Weil eine Informatikerin die Deadline drängen wird .					FALSCH					7	1	2			
VF[S]LK[V]MF[O]	aux-invan	2	4	Die Öfen werden Wanderinnen wärmen .					WAHR					5	1	2			
VF[O]LK[V]MF[S]	aux-invan	4	1	Wanderinnen werden die Öfen wärmen .					FALSCH					5	1	3			
LK[V]MF[SO]	aux-invan	4	5	Deshalb werden die Öfen Wanderinnen wärmen .					WAHR					6	1	1			
LK[V]MF[SO]Q	aux-invan	3	4	Werden die Öfen Wanderinnen wärmen ?					WAHR					5	1	1			
MF[SO]VC[V]	aux-invan	3	4	Weil die Öfen Wanderinnen wärmen werden .					WAHR					6	1	1			
VF[S]LK[V]MF[O]	aux-invan	2	4	Die Regenschauer werden Spaziergänger durchnässen .					WAHR					5	1	2			
VF[O]LK[V]MF[S]	aux-invan	4	1	Spaziergänger werden die Regenschauer durchnässen .					FALSCH					5	1	3			
LK[V]MF[SO]	aux-invan	4	5	Deshalb werden die Regenschauer Spaziergänger durchnässen .					WAHR					6	1	1			
LK[V]MF[SO]Q	aux-invan	3	4	Werden die Regenschauer Spaziergänger durchnässen ?					WAHR					5	1	1			
MF[SO]VC[V]	aux-invan	3	4	Weil die Regenschauer Spaziergänger durchnässen werden .					WAHR					6	1	1			
VF[S]LK[V]MF[O]	aux-invan	2	4	Die Kameras werden Trucker begleiten .					WAHR					5	1	2			
VF[O]LK[V]MF[S]	aux-invan	4	1	Trucker werden die Kameras begleiten .					FALSCH					5	1	3			
LK[V]MF[SO]	aux-invan	4	5	Deshalb werden die Kameras Trucker begleiten .					WAHR					6	1	1			
LK[V]MF[SO]Q	aux-invan	3	4	Werden die Kameras Trucker begleiten ?					WAHR					5	1	1			
MF[SO]VC[V]	aux-invan	3	4	Weil die Kameras Trucker begleiten werden .					WAHR					6	1	1			
VF[S]LK[V]MF[O]	aux-invan	2	5	Die Anlage wird eine Bereiste schützen .					WAHR					6	1	3			
VF[O]LK[V]MF[S]	aux-invan	5	2	Eine Bereiste wird die Anlage schützen .					FALSCH					6	1	3			
LK[V]MF[SO]	aux-invan	4	6	Deshalb wird die Anlage eine Bereiste schützen .					WAHR					7	1	2			
LK[V]MF[OS]	aux-invan	6	4	Deshalb wird eine Bereiste die Anlage schützen .					FALSCH					7	1	2			
LK[V]MF[SO]Q	aux-invan	3	5	Wird die Anlage eine Bereiste schützen ?					WAHR					6	1	2			
LK[V]MF[OS]Q	aux-invan	5	3	Wird eine Bereiste die Anlage schützen ?					FALSCH					6	1	2			
MF[SO]VC[V]	aux-invan	3	5	Weil die Anlage eine Bereiste schützen wird .					WAHR					7	1	2			
MF[OS]VC[V]	aux-invan	5	3	Weil eine Bereiste die Anlage schützen wird .					FALSCH					7	1	2			
VF[S]LK[V]MF[O]	aux-invan	2	5	Die Anzeige wird eine Hausbesitzerin betreffen .					WAHR					6	1	3			
VF[O]LK[V]MF[S]	aux-invan	5	2	Eine Hausbesitzerin wird die Anzeige betreffen .					FALSCH					6	1	3			
LK[V]MF[SO]	aux-invan	4	6	Deshalb wird die Anzeige eine Hausbesitzerin betreffen .					WAHR					7	1	2			
LK[V]MF[OS]	aux-invan	6	4	Deshalb wird eine Hausbesitzerin die Anzeige betreffen .					FALSCH					7	1	2			
LK[V]MF[SO]Q	aux-invan	3	5	Wird die Anzeige eine Hausbesitzerin betreffen ?					WAHR					6	1	2			
LK[V]MF[OS]Q	aux-invan	5	3	Wird eine Hausbesitzerin die Anzeige betreffen ?					FALSCH					6	1	2			
MF[SO]VC[V]	aux-invan	3	5	Weil die Anzeige eine Hausbesitzerin betreffen wird .					WAHR					7	1	2			
MF[OS]VC[V]	aux-invan	5	3	Weil eine Hausbesitzerin die Anzeige betreffen wird .					FALSCH					7	1	2			
VF[S]LK[V]MF[O]	aux-invan	2	5	Die Alternativlosigkeit wird eine Grünenpolitikerin prägen .					WAHR					6	1	3			
VF[O]LK[V]MF[S]	aux-invan	5	2	Eine Grünenpolitikerin wird die Alternativlosigkeit prägen .					FALSCH					6	1	3			
LK[V]MF[SO]	aux-invan	4	6	Deshalb wird die Alternativlosigkeit eine Grünenpolitikerin prägen .					WAHR					7	1	2			
LK[V]MF[OS]	aux-invan	6	4	Deshalb wird eine Grünenpolitikerin die Alternativlosigkeit prägen .					FALSCH					7	1	2			
LK[V]MF[SO]Q	aux-invan	3	5	Wird die Alternativlosigkeit eine Grünenpolitikerin prägen ?					WAHR					6	1	2			
LK[V]MF[OS]Q	aux-invan	5	3	Wird eine Grünenpolitikerin die Alternativlosigkeit prägen ?					FALSCH					6	1	2			
MF[SO]VC[V]	aux-invan	3	5	Weil die Alternativlosigkeit eine Grünenpolitikerin prägen wird .					WAHR					7	1	2			
MF[OS]VC[V]	aux-invan	5	3	Weil eine Grünenpolitikerin die Alternativlosigkeit prägen wird .					FALSCH					7	1	2			
VF[S]LK[V]MF[O]	aux-invan	2	5	Die Sonne wird eine Schwimmerin blenden .					WAHR					6	1	3			
VF[O]LK[V]MF[S]	aux-invan	5	2	Eine Schwimmerin wird die Sonne blenden .					FALSCH					6	1	3			
LK[V]MF[SO]	aux-invan	4	6	Deshalb wird die Sonne eine Schwimmerin blenden .					WAHR					7	1	2			
LK[V]MF[OS]	aux-invan	6	4	Deshalb wird eine Schwimmerin die Sonne blenden .					FALSCH					7	1	2			
LK[V]MF[SO]Q	aux-invan	3	5	Wird die Sonne eine Schwimmerin blenden ?					WAHR					6	1	2			
LK[V]MF[OS]Q	aux-invan	5	3	Wird eine Schwimmerin die Sonne blenden ?					FALSCH					6	1	2			
MF[SO]VC[V]	aux-invan	3	5	Weil die Sonne eine Schwimmerin blenden wird .					WAHR					7	1	2			
MF[OS]VC[V]	aux-invan	5	3	Weil eine Schwimmerin die Sonne blenden wird .					FALSCH					7	1	2			
VF[S]LK[V]MF[O]	aux-invan	2	4	Die Züge werden Fahrgäste befördern .					WAHR					5	1	2			
VF[O]LK[V]MF[S]	aux-invan	4	1	Fahrgäste werden die Züge befördern .					FALSCH					5	1	3			
LK[V]MF[SO]	aux-invan	4	5	Deshalb werden die Züge Fahrgäste befördern .					WAHR					6	1	1			
LK[V]MF[SO]Q	aux-invan	3	4	Werden die Züge Fahrgäste befördern ?					WAHR					5	1	1			
MF[SO]VC[V]	aux-invan	3	4	Weil die Züge Fahrgäste befördern werden .					WAHR					6	1	1			
VF[S]LK[V]MF[O]	aux-invan	2	5	Die Rückenlehne wird eine Bürotäterin unterstützen .					WAHR					6	1	3			
VF[O]LK[V]MF[S]	aux-invan	5	2	Eine Bürotäterin wird die Rückenlehne unterstützen .					FALSCH					6	1	3			
LK[V]MF[SO]	aux-invan	4	6	Deshalb wird die Rückenlehne eine Bürotäterin unterstützen .					WAHR					7	1	2			
LK[V]MF[OS]	aux-invan	6	4	Deshalb wird eine Bürotäterin die Rückenlehne unterstützen .					FALSCH					7	1	2			
LK[V]MF[SO]Q	aux-invan	3	5	Wird die Rückenlehne eine Bürotäterin unterstützen ?					WAHR					6	1	2			
LK[V]MF[OS]Q	aux-invan	5	3	Wird eine Bürotäterin die Rückenlehne unterstützen ?					FALSCH					6	1	2			
MF[SO]VC[V]	aux-invan	3	5	Weil die Rückenlehne eine Bürotäterin unterstützen wird .					WAHR					7	1	2			
MF[OS]VC[V]	aux-invan	5	3	Weil eine Bürotäterin die Rückenlehne unterstützen wird .					FALSCH					7	1	2			
VF[S]LK[V]MF[O]	aux-invan	2	5	Die Hose wird eine Entertainerin zwicken .					WAHR					6	1	3			
VF[O]LK[V]MF[S]	aux-invan	5	2	Eine Entertainerin wird die Hose zwicken .					FALSCH					6	1	3			
LK[V]MF[SO]	aux-invan	4	6	Deshalb wird die Hose eine Entertainerin zwicken .					WAHR					7	1	2			
LK[V]MF[OS]	aux-invan	6	4	Deshalb wird eine Entertainerin die Hose zwicken .					FALSCH					7	1	2			
LK[V]MF[SO]Q	aux-invan	3	5	Wird die Hose eine Entertainerin zwicken ?					WAHR					6	1	2			
LK[V]MF[OS]Q	aux-invan	5	3	Wird eine Entertainerin die Hose zwicken ?					FALSCH					6	1	2			
MF[SO]VC[V]	aux-invan	3	5	Weil die Hose eine Entertainerin zwicken wird .					WAHR					7	1	2			
MF[OS]VC[V]	aux-invan	5	3	Weil eine Entertainerin die Hose zwicken wird .					FALSCH					7	1	2			
VF[S]LK[V]MF[O]	aux-invan	2	5	Die Landwirtschaft wird eine Biene bedrohen .					WAHR					6	1	3			
VF[O]LK[V]MF[S]	aux-invan	5	2	Eine Biene wird die Landwirtschaft bedrohen .					FALSCH					6	1	3			
LK[V]MF[SO]	aux-invan	4	6	Deshalb wird die Landwirtschaft eine Biene bedrohen .					WAHR					7	1	2			
LK[V]MF[OS]	aux-invan	6	4	Deshalb wird eine Biene die Landwirtschaft bedrohen .					FALSCH					7	1	2			
LK[V]MF[SO]Q	aux-invan	3	5	Wird die Landwirtschaft eine Biene bedrohen ?					WAHR					6	1	2			
LK[V]MF[OS]Q	aux-invan	5	3	Wird eine Biene die Landwirtschaft bedrohen ?					FALSCH					6	1	2			
MF[SO]VC[V]	aux-invan	3	5	Weil die Landwirtschaft eine Biene bedrohen wird .					WAHR					7	1	2			
MF[OS]VC[V]	aux-invan	5	3	Weil eine Biene die Landwirtschaft bedrohen wird .					FALSCH					7	1	2			
VF[S]LK[V]MF[O]	spron-invan	1	4	Sie überfällt eine taz-Reporterin .					WAHR					4	0	3			
VF[O]LK[V]MF[S]	spron-invan	4	2	Eine taz-Reporterin überfällt sie .					FALSCH					4	0	2			
LK[V]MF[SO]	spron-invan	3	5	Deshalb überfällt sie eine taz-Reporterin .					WAHR					5	0	2			
LK[V]MF[SO]Q	spron-invan	2	4	Überfällt sie eine taz-Reporterin ?					WAHR					4	0	2			
MF[SO]VC[V]	spron-invan	2	4	Weil sie eine taz-Reporterin überfällt .					WAHR					5	0	2			
VF[S]LK[V]MF[O]	spron-invan	1	4	Sie trifft eine Berufstätige .					WAHR					4	0	3			
VF[O]LK[V]MF[S]	spron-invan	4	2	Eine Berufstätige trifft sie .					FALSCH					4	0	2			
LK[V]MF[SO]	spron-invan	3	5	Deshalb trifft sie eine Berufstätige .					WAHR					5	0	2			
LK[V]MF[SO]Q	spron-invan	2	4	Trifft sie eine Berufstätige ?					WAHR					4	0	2			
MF[SO]VC[V]	spron-invan	2	4	Weil sie eine Berufstätige trifft .					WAHR					5	0	2			
VF[S]LK[V]MF[O]	spron-invan	1	3	Sie drücken Jogger .					WAHR					3	0	2			
VF[O]LK[V]MF[S]	spron-invan	3	1	Jogger drücken sie .					FALSCH					3	0	2			
LK[V]MF[SO]	spron-invan	3	4	Deshalb drücken sie Jogger .					WAHR					4	0	1			
LK[V]MF[SO]Q	spron-invan	2	3	Drücken sie Jogger ?					WAHR					3	0	1			
MF[SO]VC[V]	spron-invan	2	3	Weil sie Jogger drücken .					WAHR					4	0	1			
VF[S]LK[V]MF[O]	spron-invan	1	4	Sie drängt eine Informatikerin .					WAHR					4	0	3			
VF[O]LK[V]MF[S]	spron-invan	4	2	Eine Informatikerin drängt sie .					FALSCH					4	0	2			
LK[V]MF[SO]	spron-invan	3	5	Deshalb drängt sie eine Informatikerin .					WAHR					5	0	2			
LK[V]MF[SO]Q	spron-invan	2	4	Drängt sie eine Informatikerin ?					WAHR					4	0	2			
MF[SO]VC[V]	spron-invan	2	4	Weil sie eine Informatikerin drängt .					WAHR					5	0	2			
VF[S]LK[V]MF[O]	spron-invan	1	4	Sie wärmt eine Wanderin .					WAHR					4	0	3			
VF[O]LK[V]MF[S]	spron-invan	4	2	Eine Wanderin wärmt sie .					FALSCH					4	0	2			
LK[V]MF[SO]	spron-invan	3	5	Deshalb wärmt sie eine Wanderin .					WAHR					5	0	2			
LK[V]MF[SO]Q	spron-invan	2	4	Wärmt sie eine Wanderin ?					WAHR					4	0	2			
MF[SO]VC[V]	spron-invan	2	4	Weil sie eine Wanderin wärmt .					WAHR					5	0	2			
VF[S]LK[V]MF[O]	spron-invan	1	4	Sie durchnässt eine Spaziergängerin .					WAHR					4	0	3			
VF[O]LK[V]MF[S]	spron-invan	4	2	Eine Spaziergängerin durchnässt sie .					FALSCH					4	0	2			
LK[V]MF[SO]	spron-invan	3	5	Deshalb durchnässt sie eine Spaziergängerin .					WAHR					5	0	2			
LK[V]MF[SO]Q	spron-invan	2	4	Durchnässt sie eine Spaziergängerin ?					WAHR					4	0	2			
MF[SO]VC[V]	spron-invan	2	4	Weil sie eine Spaziergängerin durchnässt .					WAHR					5	0	2			
VF[S]LK[V]MF[O]	spron-invan	1	3	Sie begleiten Trucker .					WAHR					3	0	2			
VF[O]LK[V]MF[S]	spron-invan	3	1	Trucker begleiten sie .					FALSCH					3	0	2			
LK[V]MF[SO]	spron-invan	3	4	Deshalb begleiten sie Trucker .					WAHR					4	0	1			
LK[V]MF[SO]Q	spron-invan	2	3	Begleiten sie Trucker ?					WAHR					3	0	1			
MF[SO]VC[V]	spron-invan	2	3	Weil sie Trucker begleiten .					WAHR					4	0	1			
VF[S]LK[V]MF[O]	spron-invan	1	4	Sie schützt eine Bereiste .					WAHR					4	0	3			
VF[O]LK[V]MF[S]	spron-invan	4	2	Eine Bereiste schützt sie .					FALSCH					4	0	2			
LK[V]MF[SO]	spron-invan	3	5	Deshalb schützt sie eine Bereiste .					WAHR					5	0	2			
LK[V]MF[SO]Q	spron-invan	2	4	Schützt sie eine Bereiste ?					WAHR					4	0	2			
MF[SO]VC[V]	spron-invan	2	4	Weil sie eine Bereiste schützt .					WAHR					5	0	2			
VF[S]LK[V]MF[O]	spron-invan	1	4	Sie betrifft eine Hausbesitzerin .					WAHR					4	0	3			
VF[O]LK[V]MF[S]	spron-invan	4	2	Eine Hausbesitzerin betrifft sie .					FALSCH					4	0	2			
LK[V]MF[SO]	spron-invan	3	5	Deshalb betrifft sie eine Hausbesitzerin .					WAHR					5	0	2			
LK[V]MF[SO]Q	spron-invan	2	4	Betrifft sie eine Hausbesitzerin ?					WAHR					4	0	2			
MF[SO]VC[V]	spron-invan	2	4	Weil sie eine Hausbesitzerin betrifft .					WAHR					5	0	2			
VF[S]LK[V]MF[O]	spron-invan	1	4	Sie prägt eine Grünenpolitikerin .					WAHR					4	0	3			
VF[O]LK[V]MF[S]	spron-invan	4	2	Eine Grünenpolitikerin prägt sie .					FALSCH					4	0	2			
LK[V]MF[SO]	spron-invan	3	5	Deshalb prägt sie eine Grünenpolitikerin .					WAHR					5	0	2			
LK[V]MF[SO]Q	spron-invan	2	4	Prägt sie eine Grünenpolitikerin ?					WAHR					4	0	2			
MF[SO]VC[V]	spron-invan	2	4	Weil sie eine Grünenpolitikerin prägt .					WAHR					5	0	2			
VF[S]LK[V]MF[O]	spron-invan	1	4	Sie blendet eine Schwimmerin .					WAHR					4	0	3			
VF[O]LK[V]MF[S]	spron-invan	4	2	Eine Schwimmerin blendet sie .					FALSCH					4	0	2			
LK[V]MF[SO]	spron-invan	3	5	Deshalb blendet sie eine Schwimmerin .					WAHR					5	0	2			
LK[V]MF[SO]Q	spron-invan	2	4	Blendet sie eine Schwimmerin ?					WAHR					4	0	2			
MF[SO]VC[V]	spron-invan	2	4	Weil sie eine Schwimmerin blendet .					WAHR					5	0	2			
VF[S]LK[V]MF[O]	spron-invan	1	3	Sie befördern Fahrgäste .					WAHR					3	0	2			
VF[O]LK[V]MF[S]	spron-invan	3	1	Fahrgäste befördern sie .					FALSCH					3	0	2			
LK[V]MF[SO]	spron-invan	3	4	Deshalb befördern sie Fahrgäste .					WAHR					4	0	1			
LK[V]MF[SO]Q	spron-invan	2	3	Befördern sie Fahrgäste ?					WAHR					3	0	1			
MF[SO]VC[V]	spron-invan	2	3	Weil sie Fahrgäste befördern .					WAHR					4	0	1			
VF[S]LK[V]MF[O]	spron-invan	1	4	Sie unterstützt eine Bürotäterin .					WAHR					4	0	3			
VF[O]LK[V]MF[S]	spron-invan	4	2	Eine Bürotäterin unterstützt sie .					FALSCH					4	0	2			
LK[V]MF[SO]	spron-invan	3	5	Deshalb unterstützt sie eine Bürotäterin .					WAHR					5	0	2			
LK[V]MF[SO]Q	spron-invan	2	4	Unterstützt sie eine Bürotäterin ?					WAHR					4	0	2			
MF[SO]VC[V]	spron-invan	2	4	Weil sie eine Bürotäterin unterstützt .					WAHR					5	0	2			
VF[S]LK[V]MF[O]	spron-invan	1	4	Sie zwickt eine Entertainerin .					WAHR					4	0	3			
VF[O]LK[V]MF[S]	spron-invan	4	2	Eine Entertainerin zwickt sie .					FALSCH					4	0	2			
LK[V]MF[SO]	spron-invan	3	5	Deshalb zwickt sie eine Entertainerin .					WAHR					5	0	2			
LK[V]MF[SO]Q	spron-invan	2	4	Zwickt sie eine Entertainerin ?					WAHR					4	0	2			
MF[SO]VC[V]	spron-invan	2	4	Weil sie eine Entertainerin zwickt .					WAHR					5	0	2			
VF[S]LK[V]MF[O]	spron-invan	1	4	Sie bedroht eine Biene .					WAHR					4	0	3			
VF[O]LK[V]MF[S]	spron-invan	4	2	Eine Biene bedroht sie .					FALSCH					4	0	2			
LK[V]MF[SO]	spron-invan	3	5	Deshalb bedroht sie eine Biene .					WAHR					5	0	2			
LK[V]MF[SO]Q	spron-invan	2	4	Bedroht sie eine Biene ?					WAHR					4	0	2			
MF[SO]VC[V]	spron-invan	2	4	Weil sie eine Biene bedroht .					WAHR					5	0	2			
VF[S]LK[V]MF[O]	opron-invan	2	4	Die Borniertheit überfällt sie .					WAHR					4	0	2			
VF[O]LK[V]MF[S]	opron-invan	4	1	Sie überfällt die Borniertheit .					FALSCH					4	0	3			
LK[V]MF[SO]	opron-invan	4	5	Deshalb überfällt die Borniertheit sie .					WAHR					5	0	1			
LK[V]MF[OS]	opron-invan	5	3	Deshalb überfällt sie die Borniertheit .					FALSCH					5	0	2			
LK[V]MF[SO]Q	opron-invan	3	4	Überfällt die Borniertheit sie ?					WAHR					4	0	1			
LK[V]MF[OS]Q	opron-invan	4	2	Überfällt sie die Borniertheit ?					FALSCH					4	0	2			
MF[SO]VC[V]	opron-invan	3	4	Weil die Borniertheit sie überfällt .					WAHR					5	0	1			
MF[OS]VC[V]	opron-invan	4	2	Weil sie die Borniertheit überfällt .					FALSCH					5	0	2			
VF[S]LK[V]MF[O]	opron-invan	2	4	Die Schuld trifft sie .					WAHR					4	0	2			
VF[O]LK[V]MF[S]	opron-invan	4	1	Sie trifft die Schuld .					FALSCH					4	0	3			
LK[V]MF[SO]	opron-invan	4	5	Deshalb trifft die Schuld sie .					WAHR					5	0	1			
LK[V]MF[OS]	opron-invan	5	3	Deshalb trifft sie die Schuld .					FALSCH					5	0	2			
LK[V]MF[SO]Q	opron-invan	3	4	Trifft die Schuld sie ?					WAHR					4	0	1			
LK[V]MF[OS]Q	opron-invan	4	2	Trifft sie die Schuld ?					FALSCH					4	0	2			
MF[SO]VC[V]	opron-invan	3	4	Weil die Schuld sie trifft .					WAHR					5	0	1			
MF[OS]VC[V]	opron-invan	4	2	Weil sie die Schuld trifft .					FALSCH					5	0	2			
VF[S]LK[V]MF[O]	opron-invan	2	4	Die Schuhe drücken sie .					WAHR					4	0	2			
VF[O]LK[V]MF[S]	opron-invan	4	1	Sie drücken die Schuhe .					FALSCH					4	0	3			
LK[V]MF[SO]	opron-invan	4	5	Deshalb drücken die Schuhe sie .					WAHR					5	0	1			
LK[V]MF[OS]	opron-invan	5	3	Deshalb drücken sie die Schuhe .					FALSCH					5	0	2			
LK[V]MF[SO]Q	opron-invan	3	4	Drücken die Schuhe sie ?					WAHR					4	0	1			
LK[V]MF[OS]Q	opron-invan	4	2	Drücken sie die Schuhe ?					FALSCH					4	0	2			
MF[SO]VC[V]	opron-invan	3	4	Weil die Schuhe sie drücken .					WAHR					5	0	1			
MF[OS]VC[V]	opron-invan	4	2	Weil sie die Schuhe drücken .					FALSCH					5	0	2			
VF[S]LK[V]MF[O]	opron-invan	2	4	Die Deadline drängt sie .					WAHR					4	0	2			
VF[O]LK[V]MF[S]	opron-invan	4	1	Sie drängt die Deadline .					FALSCH					4	0	3			
LK[V]MF[SO]	opron-invan	4	5	Deshalb drängt die Deadline sie .					WAHR					5	0	1			
LK[V]MF[OS]	opron-invan	5	3	Deshalb drängt sie die Deadline .					FALSCH					5	0	2			
LK[V]MF[SO]Q	opron-invan	3	4	Drängt die Deadline sie ?					WAHR					4	0	1			
LK[V]MF[OS]Q	opron-invan	4	2	Drängt sie die Deadline ?					FALSCH					4	0	2			
MF[SO]VC[V]	opron-invan	3	4	Weil die Deadline sie drängt .					WAHR					5	0	1			
MF[OS]VC[V]	opron-invan	4	2	Weil sie die Deadline drängt .					FALSCH					5	0	2			
VF[S]LK[V]MF[O]	opron-invan	2	4	Die Öfen wärmen sie .					WAHR					4	0	2			
VF[O]LK[V]MF[S]	opron-invan	4	1	Sie wärmen die Öfen .					FALSCH					4	0	3			
LK[V]MF[SO]	opron-invan	4	5	Deshalb wärmen die Öfen sie .					WAHR					5	0	1			
LK[V]MF[OS]	opron-invan	5	3	Deshalb wärmen sie die Öfen .					FALSCH					5	0	2			
LK[V]MF[SO]Q	opron-invan	3	4	Wärmen die Öfen sie ?					WAHR					4	0	1			
LK[V]MF[OS]Q	opron-invan	4	2	Wärmen sie die Öfen ?					FALSCH					4	0	2			
MF[SO]VC[V]	opron-invan	3	4	Weil die Öfen sie wärmen .					WAHR					5	0	1			
MF[OS]VC[V]	opron-invan	4	2	Weil sie die Öfen wärmen .					FALSCH					5	0	2			
VF[S]LK[V]MF[O]	opron-invan	2	4	Die Regenschauer durchnässen sie .					WAHR					4	0	2			
VF[O]LK[V]MF[S]	opron-invan	4	1	Sie durchnässen die Regenschauer .					FALSCH					4	0	3			
LK[V]MF[SO]	opron-invan	4	5	Deshalb durchnässen die Regenschauer sie .					WAHR					5	0	1			
